"CoC Number","CoC Name","Total Homeless, 2017","Sheltered Homeless, 2017","Unsheltered Homeless, 2017","Homeless Individuals, 2017","Sheltered Homeless Individuals, 2017","Unsheltered Homeless Individuals, 2017","Homeless People in Families, 2017","Sheltered Homeless People in Families, 2017","Unsheltered Homeless People in Families, 2017","Chronically Homeless, 2017","Sheltered Chronically Homeless, 2017","Unsheltered Chronically Homeless, 2017","Chronically Homeless Individuals, 2017","Sheltered Chronically Homeless Individuals, 2017","Unsheltered Chronically Homeless Individuals, 2017","Chronically Homeless People in Families, 2017","Sheltered Chronically Homeless People in Families, 2017","Unsheltered Chronically Homeless People in Families, 2017","Homeless Veterans, 2017","Sheltered Homeless Veterans, 2017","Unsheltered Homeless Veterans, 2017","Homeless Unaccompanied Youth (Under 25), 2017","Sheltered Homeless Unaccompanied Youth (Under 25), 2017","Unsheltered Homeless Unaccompanied Youth (Under 25), 2017","Homeless Unaccompanied Children (Under 18), 2017","Sheltered Homeless Unaccompanied Children (Under 18), 2017","Unsheltered Homeless Unaccompanied Children (Under 18), 2017","Homeless Unaccompanied Young Adults (Age 18-24), 2017","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Parenting Youth (Under 25), 2017","Sheltered Parenting Youth (Under 25), 2017","Unsheltered Parenting Youth (Under 25), 2017","Parenting Youth Under 18, 2017","Sheltered Parenting Youth Under 18, 2017","Unsheltered Parenting Youth Under 18, 2017","Parenting Youth Age 18-24, 2017","Sheltered Parenting Youth Age 18-24, 2017","Unsheltered Parenting Youth Age 18-24, 2017","Children of Parenting Youth, 2017","Sheltered Children of Parenting Youth, 2017","Unsheltered Children of Parenting Youth, 2017"
"SC-501","Greenville/Anderson/Spartanburg Upstate CoC","1317.0","932.0","385.0","898.0","553.0","345.0","419.0","379.0","40.0","230.0","74.0","156.0","222.0","69.0","153.0","8.0","5.0","3.0","73.0","47.0","26.0","53.0","36.0","17.0","0.0","0.0","0.0","53.0","36.0","17.0","19.0","18.0","1.0","0.0","0.0","0.0","19.0","18.0","1.0","30.0","29.0","1.0"
"SC-502","Columbia/Midlands CoC","1200.0","893.0","307.0","939.0","650.0","289.0","261.0","243.0","18.0","295.0","119.0","176.0","284.0","119.0","165.0","11.0","0.0","11.0","153.0","144.0","9.0","61.0","44.0","17.0","6.0","5.0","1.0","55.0","39.0","16.0","10.0","10.0","0.0","0.0","0.0","0.0","10.0","10.0","0.0","13.0","13.0","0.0"
"SC-503","Myrtle Beach/Sumter City & County CoC","974.0","369.0","605.0","666.0","265.0","401.0","308.0","104.0","204.0","191.0","22.0","169.0","178.0","17.0","161.0","13.0","5.0","8.0","127.0","38.0","89.0","47.0","26.0","21.0","2.0","1.0","1.0","45.0","25.0","20.0","14.0","7.0","7.0","0.0","0.0","0.0","14.0","7.0","7.0","19.0","10.0","9.0"
"SD-500","South Dakota Statewide CoC","943.0","772.0","171.0","611.0","452.0","159.0","332.0","320.0","12.0","144.0","112.0","32.0","101.0","81.0","20.0","43.0","31.0","12.0","130.0","123.0","7.0","66.0","53.0","13.0","19.0","18.0","1.0","47.0","35.0","12.0","14.0","14.0","0.0","2.0","2.0","0.0","12.0","12.0","0.0","18.0","18.0","0.0"
"TN-500","Chattanooga/Southeast Tennessee CoC","576.0","359.0","217.0","452.0","239.0","213.0","124.0","120.0","4.0","192.0","88.0","104.0","189.0","85.0","104.0","3.0","3.0","0.0","54.0","23.0","31.0","17.0","10.0","7.0","0.0","0.0","0.0","17.0","10.0","7.0","5.0","5.0","0.0","0.0","0.0","0.0","5.0","5.0","0.0","6.0","6.0","0.0"
"TN-501","Memphis/Shelby County CoC","1426.0","1347.0","79.0","915.0","836.0","79.0","511.0","511.0","0.0","66.0","24.0","42.0","52.0","10.0","42.0","14.0","14.0","0.0","213.0","204.0","9.0","31.0","29.0","2.0","8.0","8.0","0.0","23.0","21.0","2.0","9.0","9.0","0.0","0.0","0.0","0.0","9.0","9.0","0.0","23.0","23.0","0.0"
"TN-502","Knoxville/Knox County CoC","812.0","678.0","134.0","701.0","577.0","124.0","111.0","101.0","10.0","77.0","54.0","23.0","75.0","52.0","23.0","2.0","2.0","0.0","87.0","85.0","2.0","72.0","53.0","19.0","3.0","3.0","0.0","69.0","50.0","19.0","2.0","2.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","3.0","3.0","0.0"
"TN-503","Central Tennessee CoC","285.0","260.0","25.0","201.0","176.0","25.0","84.0","84.0","0.0","45.0","40.0","5.0","25.0","20.0","5.0","20.0","20.0","0.0","55.0","52.0","3.0","42.0","41.0","1.0","0.0","0.0","0.0","42.0","41.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TN-504","Nashville/Davidson County CoC","2337.0","1698.0","639.0","1990.0","1361.0","629.0","347.0","337.0","10.0","617.0","219.0","398.0","598.0","210.0","388.0","19.0","9.0","10.0","223.0","184.0","39.0","114.0","86.0","28.0","6.0","6.0","0.0","108.0","80.0","28.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TN-506","Oak Ridge/Upper Cumberland CoC","252.0","168.0","84.0","157.0","99.0","58.0","95.0","69.0","26.0","25.0","20.0","5.0","17.0","12.0","5.0","8.0","8.0","0.0","15.0","11.0","4.0","16.0","10.0","6.0","1.0","0.0","1.0","15.0","10.0","5.0","3.0","3.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","3.0","3.0","0.0"
