"CoC Number","CoC Name","Total Homeless, 2007","Sheltered Homeless, 2007","Unsheltered Homeless, 2007","Homeless Individuals, 2007","Sheltered Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Homeless People in Families, 2007","Sheltered Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Chronically Homeless Individuals, 2007","Sheltered Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007"
"CA-606","Long Beach CoC","3829.0","1679.0","2150.0","2814.0","1189.0","1625.0","1015.0","490.0","525.0","628.0","0.0","628.0"
"CA-607","Pasadena CoC","969.0","434.0","535.0","676.0","298.0","378.0","293.0","136.0","157.0","279.0","59.0","220.0"
"CA-608","Riverside City & County CoC","4508.0","1330.0","3178.0","3343.0","612.0","2731.0","1165.0","718.0","447.0","1003.0","154.0","849.0"
"CA-609","San Bernardino City & County CoC","6969.0","1220.0","5749.0","6191.0","609.0","5582.0","778.0","611.0","167.0","2386.0","142.0","2244.0"
"CA-611","Oxnard/San Buenaventura/Ventura County CoC","1961.0","426.0","1535.0","1513.0","247.0","1266.0","448.0","179.0","269.0","301.0","42.0","259.0"
"CA-612","Glendale CoC","296.0","233.0","63.0","161.0","123.0","38.0","135.0","110.0","25.0","79.0","64.0","15.0"
"CA-613","Imperial County CoC","342.0","113.0","229.0","54.0","54.0","0.0","288.0","59.0","229.0","229.0","0.0","229.0"
"CA-614","San Luis Obispo County CoC","2408.0","187.0","2221.0","1348.0","130.0","1218.0","1060.0","57.0","1003.0","615.0","15.0","600.0"
"CO-500","Colorado Balance of State CoC","4450.0","1093.0","3357.0","2633.0","451.0","2182.0","1817.0","642.0","1175.0","1443.0","31.0","1412.0"
"CO-503","Metropolitan Denver Homeless Initiative","8698.0","5185.0","3513.0","3449.0","2169.0","1280.0","5249.0","3016.0","2233.0","412.0","272.0","140.0"
"CO-504","Colorado Springs/El Paso County CoC","1077.0","693.0","384.0","762.0","434.0","328.0","315.0","259.0","56.0","195.0","101.0","94.0"
"CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","919.0","789.0","130.0","627.0","504.0","123.0","292.0","285.0","7.0","135.0","75.0","60.0"
"CT-505","Connecticut Balance of State CoC","3563.0","2882.0","681.0","2546.0","1952.0","594.0","1017.0","930.0","87.0","888.0","521.0","367.0"
"DC-500","District of Columbia CoC","5320.0","4980.0","340.0","3717.0","3377.0","340.0","1603.0","1603.0","0.0","1760.0","1439.0","321.0"
"DE-500","Delaware Statewide CoC","1061.0","854.0","207.0","716.0","530.0","186.0","345.0","324.0","21.0","150.0","76.0","74.0"
"FL-500","Sarasota/Bradenton/Manatee, Sarasota Counties CoC","1012.0","494.0","518.0","777.0","342.0","435.0","235.0","152.0","83.0","135.0","0.0","135.0"
"FL-501","Tampa/Hillsborough County CoC","6483.0","1050.0","5433.0","4397.0","584.0","3813.0","2086.0","466.0","1620.0","528.0","147.0","381.0"
"FL-502","St. Petersburg/Clearwater/Largo/Pinellas County CoC","2526.0","1305.0","1221.0","2129.0","911.0","1218.0","397.0","394.0","3.0","611.0","197.0","414.0"
"FL-503","Lakeland/Winter Haven/Polk County CoC","802.0","487.0","315.0","593.0","336.0","257.0","209.0","151.0","58.0","197.0","179.0","18.0"
"FL-504","Daytona Beach/Daytona/Volusia, Flagler Counties CoC","1478.0","569.0","909.0","854.0","203.0","651.0","624.0","366.0","258.0","184.0","0.0","184.0"
