"CoC Number","CoC Name","Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
"IL-503","Champaign/Urbana/Rantoul/Champaign County CoC","214.0","171.0","43.0","156.0","130.0","26.0","58.0","41.0","17.0","8.0","4.0","4.0","8.0","4.0","4.0","0.0","0.0","0.0","31.0","28.0","3.0"
"IL-504","Madison County CoC","201.0","173.0","28.0","46.0","29.0","17.0","155.0","144.0","11.0","7.0","1.0","6.0","7.0","1.0","6.0","0.0","0.0","0.0","7.0","4.0","3.0"
"IL-506","Joliet/Bolingbrook/Will County CoC","288.0","281.0","7.0","184.0","177.0","7.0","104.0","104.0","0.0","17.0","11.0","6.0","17.0","11.0","6.0","0.0","0.0","0.0","30.0","30.0","0.0"
"IL-507","Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC","396.0","370.0","26.0","252.0","230.0","22.0","144.0","140.0","4.0","52.0","51.0","1.0","48.0","47.0","1.0","4.0","4.0","0.0","26.0","23.0","3.0"
"IL-508","East Saint Louis/Belleville/Saint Clair County CoC","213.0","146.0","67.0","121.0","54.0","67.0","92.0","92.0","0.0","24.0","0.0","24.0","22.0","0.0","22.0","2.0","0.0","2.0","41.0","29.0","12.0"
"IL-509","Dekalb City & County CoC","107.0","104.0","3.0","46.0","43.0","3.0","61.0","61.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IL-510","Chicago CoC","6276.0","5060.0","1216.0","3923.0","2729.0","1194.0","2353.0","2331.0","22.0","557.0","257.0","300.0","557.0","257.0","300.0","0.0","0.0","0.0","712.0","406.0","306.0"
"IL-511","Cook County CoC","1242.0","1091.0","151.0","693.0","547.0","146.0","549.0","544.0","5.0","109.0","79.0","30.0","109.0","79.0","30.0","0.0","0.0","0.0","121.0","100.0","21.0"
"IL-512","Bloomington/Central Illinois CoC","536.0","420.0","116.0","353.0","293.0","60.0","183.0","127.0","56.0","62.0","57.0","5.0","57.0","52.0","5.0","5.0","5.0","0.0","15.0","7.0","8.0"
"IL-513","Springfield/Sangamon County CoC","280.0","270.0","10.0","181.0","171.0","10.0","99.0","99.0","0.0","87.0","78.0","9.0","67.0","58.0","9.0","20.0","20.0","0.0","23.0","22.0","1.0"
"IL-514","DuPage County CoC","665.0","636.0","29.0","295.0","266.0","29.0","370.0","370.0","0.0","74.0","69.0","5.0","69.0","64.0","5.0","5.0","5.0","0.0","19.0","16.0","3.0"
"IL-515","South Central Illinois CoC","149.0","130.0","19.0","40.0","29.0","11.0","109.0","101.0","8.0","21.0","10.0","11.0","16.0","7.0","9.0","5.0","3.0","2.0","4.0","3.0","1.0"
"IL-516","Decatur/Macon County CoC","247.0","190.0","57.0","144.0","95.0","49.0","103.0","95.0","8.0","69.0","38.0","31.0","42.0","27.0","15.0","27.0","11.0","16.0","12.0","10.0","2.0"
"IL-517","Aurora/Elgin/Kane County CoC","451.0","405.0","46.0","344.0","298.0","46.0","107.0","107.0","0.0","109.0","88.0","21.0","103.0","82.0","21.0","6.0","6.0","0.0","37.0","31.0","6.0"
"IL-518","Rock Island/Moline/Northwestern Illinois CoC","219.0","218.0","1.0","122.0","121.0","1.0","97.0","97.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","9.0","0.0"
"IL-519","West Central Illinois CoC","133.0","128.0","5.0","44.0","39.0","5.0","89.0","89.0","0.0","4.0","4.0","0.0","4.0","4.0","0.0","0.0","0.0","0.0","5.0","5.0","0.0"
"IL-520","Southern Illinois CoC","338.0","263.0","75.0","160.0","121.0","39.0","178.0","142.0","36.0","35.0","11.0","24.0","22.0","7.0","15.0","13.0","4.0","9.0","23.0","20.0","3.0"
"IN-502","Indiana Balance of State CoC","4497.0","3917.0","580.0","2642.0","2174.0","468.0","1855.0","1743.0","112.0","398.0","272.0","126.0","347.0","224.0","123.0","51.0","48.0","3.0","423.0","357.0","66.0"
